timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490129728487,230,HTTP Request - interest,200,OK,Thread Group -10 1-1,text,true,,236,208,7,7,230,0,118
1490129729488,210,HTTP Request - interest,200,OK,Thread Group -10 1-2,text,true,,239,208,8,8,210,0,100
1490129730491,208,HTTP Request - interest,200,OK,Thread Group -10 1-3,text,true,,236,210,9,9,208,0,100
1490129731494,211,HTTP Request - interest,200,OK,Thread Group -10 1-4,text,true,,254,213,10,10,211,0,99
1490129732492,204,HTTP Request - interest,200,OK,Thread Group -10 1-5,text,true,,255,213,10,10,204,0,97
1490129733493,210,HTTP Request - interest,200,OK,Thread Group -10 1-6,text,true,,237,211,10,10,210,0,101
1490129734494,225,HTTP Request - interest,200,OK,Thread Group -10 1-7,text,true,,236,211,10,10,225,0,117
1490129735491,210,HTTP Request - interest,200,OK,Thread Group -10 1-8,text,true,,236,208,9,9,210,0,101
1490129736489,210,HTTP Request - interest,200,OK,Thread Group -10 1-9,text,true,,239,208,8,8,210,0,103
1490129737497,232,HTTP Request - interest,200,OK,Thread Group -10 1-10,text,true,,236,210,7,7,232,0,132
