timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490129768584,204,HTTP Request - discount,200,OK,Thread Group -100 1-86,text,true,,237,249,15,15,204,0,100
1490129768652,205,HTTP Request - discount,200,OK,Thread Group -100 1-87,text,true,,237,249,14,14,205,0,97
1490129768744,210,HTTP Request - discount,200,OK,Thread Group -100 1-88,text,true,,236,250,13,13,210,0,100
1490129768836,216,HTTP Request - discount,200,OK,Thread Group -100 1-89,text,true,,236,247,12,12,216,0,100
1490129768943,207,HTTP Request - discount,200,OK,Thread Group -100 1-90,text,true,,236,248,11,11,207,0,97
1490129769036,201,HTTP Request - discount,200,OK,Thread Group -100 1-91,text,true,,237,248,10,10,201,0,97
1490129769157,213,HTTP Request - discount,200,OK,Thread Group -100 1-92,text,true,,237,249,9,9,213,0,104
1490129769257,210,HTTP Request - discount,200,OK,Thread Group -100 1-93,text,true,,237,248,8,8,210,0,102
1490129769353,212,HTTP Request - discount,200,OK,Thread Group -100 1-94,text,true,,237,249,7,7,212,0,102
1490129769446,205,HTTP Request - discount,200,OK,Thread Group -100 1-95,text,true,,237,249,6,6,205,0,99
1490129769553,212,HTTP Request - discount,200,OK,Thread Group -100 1-96,text,true,,236,250,5,5,212,0,99
1490129769659,203,HTTP Request - discount,200,OK,Thread Group -100 1-97,text,true,,236,247,4,4,203,0,97
1490129769764,199,HTTP Request - discount,200,OK,Thread Group -100 1-98,text,true,,236,248,3,3,199,0,97
1490129769856,206,HTTP Request - discount,200,OK,Thread Group -100 1-99,text,true,,237,248,2,2,206,0,100
1490129769953,205,HTTP Request - discount,200,OK,Thread Group -100 1-100,text,true,,237,249,1,1,205,0,99
