timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490129791380,219,HTTP Request - interest,200,OK,Thread Group -1000 1-3,text,true,,236,210,567,567,219,0,115
1490129791393,207,HTTP Request - interest,200,OK,Thread Group -1000 1-4,text,true,,254,213,567,567,207,0,105
1490129791401,211,HTTP Request - interest,200,OK,Thread Group -1000 1-5,text,true,,255,213,568,568,211,0,103
1490129791358,253,HTTP Request - interest,200,OK,Thread Group -1000 1-1,text,true,,236,208,568,568,253,0,140
1490129791369,242,HTTP Request - interest,200,OK,Thread Group -1000 1-2,text,true,,239,208,568,568,242,0,129
1490129791413,204,HTTP Request - interest,200,OK,Thread Group -1000 1-6,text,true,,237,211,568,568,204,0,102
1490129791426,199,HTTP Request - interest,200,OK,Thread Group -1000 1-7,text,true,,236,211,569,569,199,0,97
1490129791432,211,HTTP Request - interest,200,OK,Thread Group -1000 1-8,text,true,,236,208,571,571,211,0,104
1490129791452,204,HTTP Request - interest,200,OK,Thread Group -1000 1-10,text,true,,236,210,572,572,204,0,98
1490129791450,207,HTTP Request - interest,200,OK,Thread Group -1000 1-9,text,true,,239,208,572,572,207,0,98
1490129791485,217,HTTP Request - interest,200,OK,Thread Group -1000 1-13,text,true,,237,211,575,575,217,0,109
1490129791473,229,HTTP Request - interest,200,OK,Thread Group -1000 1-12,text,true,,255,213,576,576,229,0,119
1490129791507,202,HTTP Request - interest,200,OK,Thread Group -1000 1-15,text,true,,236,208,577,577,202,0,103
1490129791514,206,HTTP Request - interest,200,OK,Thread Group -1000 1-16,text,true,,239,208,579,579,206,0,101
1490129791501,222,HTTP Request - interest,200,OK,Thread Group -1000 1-14,text,true,,236,211,579,579,222,0,99
1490129791531,201,HTTP Request - interest,200,OK,Thread Group -1000 1-17,text,true,,236,210,580,580,201,0,98
1490129791472,264,HTTP Request - interest,200,OK,Thread Group -1000 1-11,text,true,,254,213,580,580,264,0,119
1490129791548,195,HTTP Request - interest,200,OK,Thread Group -1000 1-19,text,true,,255,213,581,581,195,0,96
1490129791536,213,HTTP Request - interest,200,OK,Thread Group -1000 1-18,text,true,,254,213,581,581,213,0,104
1490129791560,205,HTTP Request - interest,200,OK,Thread Group -1000 1-20,text,true,,237,211,583,583,205,0,99
1490129791568,201,HTTP Request - interest,200,OK,Thread Group -1000 1-21,text,true,,236,211,583,583,201,0,99
1490129791587,220,HTTP Request - interest,200,OK,Thread Group -1000 1-22,text,true,,236,208,587,587,220,0,115
1490129791591,218,HTTP Request - interest,200,OK,Thread Group -1000 1-23,text,true,,239,208,587,587,218,0,111
1490129791615,202,HTTP Request - interest,200,OK,Thread Group -1000 1-25,text,true,,254,213,588,588,202,0,98
1490129791625,194,HTTP Request - interest,200,OK,Thread Group -1000 1-26,text,true,,255,213,588,588,194,0,94
1490129791600,221,HTTP Request - interest,200,OK,Thread Group -1000 1-24,text,true,,236,210,588,588,221,0,111
1490129791634,200,HTTP Request - interest,200,OK,Thread Group -1000 1-27,text,true,,237,211,590,590,200,0,98
1490129791652,197,HTTP Request - interest,200,OK,Thread Group -1000 1-29,text,true,,236,208,591,591,197,0,96
1490129791647,209,HTTP Request - interest,200,OK,Thread Group -1000 1-28,text,true,,236,211,592,592,209,0,102
1490129791672,186,HTTP Request - interest,200,OK,Thread Group -1000 1-31,text,true,,236,210,592,592,186,0,91
1490129791665,195,HTTP Request - interest,200,OK,Thread Group -1000 1-30,text,true,,239,208,592,592,195,0,97
1490129791701,199,HTTP Request - interest,200,OK,Thread Group -1000 1-34,text,true,,237,211,596,596,199,0,98
1490129791715,195,HTTP Request - interest,200,OK,Thread Group -1000 1-35,text,true,,236,211,597,597,195,0,95
1490129791702,208,HTTP Request - interest,200,OK,Thread Group -1000 1-33,text,true,,255,213,597,597,208,0,101
1490129791702,209,HTTP Request - interest,200,OK,Thread Group -1000 1-32,text,true,,254,213,597,597,209,0,102
1490129791727,200,HTTP Request - interest,200,OK,Thread Group -1000 1-36,text,true,,236,208,599,599,200,0,97
1490129791739,201,HTTP Request - interest,200,OK,Thread Group -1000 1-37,text,true,,239,208,600,600,201,0,99
1490129791751,206,HTTP Request - interest,200,OK,Thread Group -1000 1-38,text,true,,236,210,602,602,206,0,101
1490129791763,204,HTTP Request - interest,200,OK,Thread Group -1000 1-39,text,true,,254,213,603,603,204,0,99
1490129791774,197,HTTP Request - interest,200,OK,Thread Group -1000 1-40,text,true,,255,213,603,603,197,0,96
